instruction_id,genre_raw,genre_candidates,genre_candidate_labels,genre_norm,reason
14621_53228_0,Description of a high society event,"[""description of a high society event""]",[],other,no top-label rule matched
5104_2670_0,Fairytale,"[""fairytale""]",[],other,no top-label rule matched
8863_18387_0,"Travel writing, adventure","[""travel writing"", ""adventure""]","[""nonfiction_essay"", ""adventure""]",nonfiction_essay,compound genre maps to multiple normalized labels
19cTexts_1840-49_PierJAP_batch69,Hymn,"[""hymn""]",[],other,no top-label rule matched
11285_32667_0,Literature about illness and recovery,"[""literature about illness"", ""recovery""]",[],other,no top-label rule matched
10662_82894_0,Adventure/Fantasy,"[""adventure"", ""fantasy""]","[""adventure"", ""speculative""]",adventure,compound genre maps to multiple normalized labels
47869_77982_0,,[],[],other,missing genre_raw
20062_70884_0,Political literature,"[""political literature""]",[],other,no top-label rule matched
2947_55537_0,,[],[],other,missing genre_raw
17179_61029_0,,[],[],other,missing genre_raw
12399_41090_0,Fable,"[""fable""]",[],other,no top-label rule matched
12889_45883_1,Folklore,"[""folklore""]",[],other,no top-label rule matched
14904_53622_0,Legal document,"[""legal document""]",[],other,no top-label rule matched
16980_59466_0,Descriptive prose,"[""descriptive prose""]",[],other,no top-label rule matched
5200_71515_1,Tragic fiction,"[""tragic fiction""]",[],other,no top-label rule matched
6985_116065_0,Sports fiction,"[""sports fiction""]",[],other,no top-label rule matched
6683_88387_0,Adventure/Thriller,"[""adventure"", ""thriller""]","[""adventure"", ""mystery_crime""]",adventure,compound genre maps to multiple normalized labels
19cTexts_1890-99_NewmEGO_batch71,Opera critique,"[""opera critique""]",[],other,no top-label rule matched
4748_88165_0,Adventure/Thriller,"[""adventure"", ""thriller""]","[""adventure"", ""mystery_crime""]",adventure,compound genre maps to multiple normalized labels
19cTexts_1840-49_LeveCCO2_batch80,"Historical fiction, mystery","[""historical fiction"", ""mystery""]","[""historical"", ""mystery_crime""]",historical,compound genre maps to multiple normalized labels
6891_8472_0,,[],[],other,missing genre_raw
9909_92427_0,Satirical novel,"[""satirical novel""]",[],other,no top-label rule matched
23021_74703_0,,[],[],other,missing genre_raw
11209_32566_0,Social realism,"[""social realism""]",[],other,no top-label rule matched
15027_53989_1,,[],[],other,missing genre_raw
2336_29529_0,,[],[],other,missing genre_raw
2409_46973_0,,[],[],other,missing genre_raw
11295_32902_0,"Realistic fiction, domestic drama","[""realistic fiction"", ""domestic drama""]","[""general_fiction"", ""drama""]",general_fiction,compound genre maps to multiple normalized labels
1081_3717_0,,[],[],other,missing genre_raw
986_44852_1,"Unclear, possibly literary fiction","[""unclear"", ""possibly literary fiction""]",[],other,no top-label rule matched
1586_86271_0,"Fiction, drama","[""fiction"", ""drama""]","[""general_fiction"", ""drama""]",general_fiction,compound genre maps to multiple normalized labels
12367_40792_0,,[],[],other,missing genre_raw
11380_33952_0,Political writing,"[""political writing""]",[],other,no top-label rule matched
9980_25874_0,Educational text,"[""educational text""]",[],other,no top-label rule matched
6362_89011_0,War literature,"[""war literature""]",[],other,no top-label rule matched
19cTexts_1890-99_TennHAL2_batch24,Diary,"[""diary""]",[],other,no top-label rule matched
8923_19134_0,,[],[],other,missing genre_raw
19cTexts_1820-29_EganPLI_batch60,,[],[],other,missing genre_raw
11928_37556_0,"Fiction, possibly romance","[""fiction"", ""possibly romance""]","[""general_fiction"", ""romance""]",general_fiction,compound genre maps to multiple normalized labels
19cTexts_1870-79_BrowRDI_batch4,,[],[],other,missing genre_raw
6418_121568_0,"Fiction, possibly children's literature","[""fiction"", ""possibly children s literature""]","[""general_fiction"", ""children_young_adult""]",general_fiction,compound genre maps to multiple normalized labels
14670_53275_0,,[],[],other,missing genre_raw
17583_62587_0,,[],[],other,missing genre_raw
12120_38844_0,Parable,"[""parable""]",[],other,no top-label rule matched
8099_14981_0,Instructional text,"[""instructional text""]",[],other,no top-label rule matched
12459_41771_0,,[],[],other,missing genre_raw
366_105646_0,"Drama, possibly young adult","[""drama"", ""possibly young adult""]","[""drama"", ""children_young_adult""]",drama,compound genre maps to multiple normalized labels
23000_63531_0,,[],[],other,missing genre_raw
19cTexts_1880-89_DextHCL_batch174,Pamphlet,"[""pamphlet""]",[],other,no top-label rule matched
805_12130_0,"Romance, coming-of-age","[""romance"", ""coming of age""]","[""romance"", ""children_young_adult""]",romance,compound genre maps to multiple normalized labels
46_36811_0,Christmas fiction,"[""christmas fiction""]",[],other,no top-label rule matched
62_10353_0,"Science fiction, adventure","[""science fiction"", ""adventure""]","[""speculative"", ""adventure""]",speculative,compound genre maps to multiple normalized labels
8961_21775_0,,[],[],other,missing genre_raw
14021_101393_0,Dystopian fiction,"[""dystopian fiction""]",[],other,no top-label rule matched
15757_56843_0,Linguistics,"[""linguistics""]",[],other,no top-label rule matched
10514_27859_0,Autobiographical prose,"[""autobiographical prose""]",[],other,no top-label rule matched
9158_22670_0,,[],[],other,missing genre_raw
2391_88865_0,,[],[],other,missing genre_raw
22020_74022_0,Social novel,"[""social novel""]",[],other,no top-label rule matched
946_38166_0,Epistolary fiction,"[""epistolary fiction""]",[],other,no top-label rule matched
19cTexts_1840-49_CunnALS3_batch111,Art history,"[""art history""]",[],other,no top-label rule matched
13101_48764_0,,[],[],other,missing genre_raw
4708_71796_0,,[],[],other,missing genre_raw
271_54126_0,Animal fiction,"[""animal fiction""]",[],other,no top-label rule matched
19427_68430_0,,[],[],other,missing genre_raw
17179_61056_0,Instructional manual,"[""instructional manual""]",[],other,no top-label rule matched
395_74021_0,Allegory,"[""allegory""]",[],other,no top-label rule matched
2804_12594_0,"Coming-of-age, romance","[""coming of age"", ""romance""]","[""children_young_adult"", ""romance""]",children_young_adult,compound genre maps to multiple normalized labels
19cTexts_1870-79_HeadJLT_batch52,"Non-fiction, historical account","[""non fiction"", ""historical account""]","[""nonfiction_essay"", ""historical""]",nonfiction_essay,compound genre maps to multiple normalized labels
22025_74148_0,Political or legal text,"[""political or legal text""]",[],other,no top-label rule matched
11207_32244_0,Patriotic speech,"[""patriotic speech""]",[],other,no top-label rule matched
6887_8344_0,"Historical fiction, political commentary","[""historical fiction"", ""political commentary""]","[""historical"", ""nonfiction_essay""]",historical,compound genre maps to multiple normalized labels
141_69966_0,Novel,"[""novel""]",[],other,no top-label rule matched
17883_64275_0,,[],[],other,missing genre_raw
1951_116892_0,Utopian fiction,"[""utopian fiction""]",[],other,no top-label rule matched
5138_2826_0,Satirical novel,"[""satirical novel""]",[],other,no top-label rule matched
134_137986_0,Feminist novel,"[""feminist novel""]",[],other,no top-label rule matched
20006_70481_0,,[],[],other,missing genre_raw
2405_38081_0,,[],[],other,missing genre_raw
6966_8875_0,Cookbook,"[""cookbook""]",[],other,no top-label rule matched
19cTexts_1880-89_DextHCL_batch183,"Historical analysis, religious debate","[""historical analysis"", ""religious debate""]","[""historical"", ""religious_philosophical""]",historical,compound genre maps to multiple normalized labels
2158_48760_0,Political novel,"[""political novel""]",[],other,no top-label rule matched
19cTexts_1890-99_RoycJSM_batch262,Philosophy,"[""philosophy""]",[],other,no top-label rule matched
2466_79240_0,,[],[],other,missing genre_raw
172_59775_0,"Fiction, possibly comedy","[""fiction"", ""possibly comedy""]","[""general_fiction"", ""comedy_satire""]",general_fiction,compound genre maps to multiple normalized labels
15680_56356_0,Scientific literature,"[""scientific literature""]",[],other,no top-label rule matched
17909_65210_0,,[],[],other,missing genre_raw
2947_55535_0,,[],[],other,missing genre_raw
10774_28892_0,War literature,"[""war literature""]",[],other,no top-label rule matched
19cTexts_1850-59_PuseEDR_batch281,Religious/ Theological discourse,"[""religious"", ""theological discourse""]","[""religious_philosophical"", ""nonfiction_essay""]",religious_philosophical,compound genre maps to multiple normalized labels
11299_32931_0,,[],[],other,missing genre_raw
4980_115835_0,Animal fiction,"[""animal fiction""]",[],other,no top-label rule matched
1688_60400_0,Social realism,"[""social realism""]",[],other,no top-label rule matched
19cTexts_1840-49_OwenRLC_batch280,Scientific writing,"[""scientific writing""]",[],other,no top-label rule matched
19cTexts_1830-39_CrokTPS_batch100,Folk song,"[""folk song""]",[],other,no top-label rule matched
64676_1610_1,Folklore,"[""folklore""]",[],other,no top-label rule matched
7267_11375_0,,[],[],other,missing genre_raw
4501_64785_0,Fable,"[""fable""]",[],other,no top-label rule matched
12969_46538_0,,[],[],other,missing genre_raw
10290_26796_0,"Fiction, possibly coming-of-age or family drama","[""fiction"", ""possibly coming of age or family drama""]","[""general_fiction"", ""drama""]",general_fiction,compound genre maps to multiple normalized labels
19cTexts_1870-79_EdwaELF_batch220,Academic writing,"[""academic writing""]",[],other,no top-label rule matched
711_43045_0,Anthropological or cultural study,"[""anthropological or cultural study""]",[],other,no top-label rule matched
12247_39703_0,Advertisement,"[""advertisement""]",[],other,no top-label rule matched
19cTexts_1810-19_DunlWM_batch102,"Fiction, coming-of-age","[""fiction"", ""coming of age""]","[""general_fiction"", ""children_young_adult""]",general_fiction,compound genre maps to multiple normalized labels
2813_134264_0,Financial fiction,"[""financial fiction""]",[],other,no top-label rule matched
24131_101452_0,"Literary fiction, social satire","[""literary fiction"", ""social satire""]","[""general_fiction"", ""comedy_satire""]",general_fiction,compound genre maps to multiple normalized labels
19cTexts_1890-99_TennHAL2_batch252,,[],[],other,missing genre_raw
10218_26737_0,Gardening guide,"[""gardening guide""]",[],other,no top-label rule matched
4968_1086_0,"Adventure, mystery","[""adventure"", ""mystery""]","[""adventure"", ""mystery_crime""]",adventure,compound genre maps to multiple normalized labels
8916_19050_0,,[],[],other,missing genre_raw
8961_21784_0,,[],[],other,missing genre_raw
19013_66958_0,Science textbook,"[""science textbook""]",[],other,no top-label rule matched
5110_106214_0,Animal fiction,"[""animal fiction""]",[],other,no top-label rule matched
227_198_0,Political oratory,"[""political oratory""]",[],other,no top-label rule matched
2190_21247_1,,[],[],other,missing genre_raw
19cTexts_1870-79_HeadJLT_batch160,Political or diplomatic speech,"[""political or diplomatic speech""]",[],other,no top-label rule matched
2814_99391_0,Fictional short story,"[""fictional short story""]",[],other,no top-label rule matched
1026_36357_0,Fictional diary or journal,"[""fictional diary or journal""]",[],other,no top-label rule matched
15703_56405_0,,[],[],other,missing genre_raw
18198_66168_1,,[],[],other,missing genre_raw
19cTexts_1860-69_FarrACH_batch300,Non-fiction/religious,"[""non fiction"", ""religious""]","[""nonfiction_essay"", ""religious_philosophical""]",nonfiction_essay,compound genre maps to multiple normalized labels
20943_72867_0,Prose fiction,"[""prose fiction""]",[],other,no top-label rule matched
63998_1472_1,Anthropological study,"[""anthropological study""]",[],other,no top-label rule matched
11747_36659_0,,[],[],other,missing genre_raw
2407_38200_0,,[],[],other,missing genre_raw
10506_27652_0,,[],[],other,missing genre_raw
219_6814_0,"Adventure, travel","[""adventure"", ""travel""]","[""adventure"", ""nonfiction_essay""]",adventure,compound genre maps to multiple normalized labels
284_97967_0,Social novel,"[""social novel""]",[],other,no top-label rule matched
2818_40014_1,Animal fiction,"[""animal fiction""]",[],other,no top-label rule matched
157_6761_0,Epistolary fiction,"[""epistolary fiction""]",[],other,no top-label rule matched
6470_5636_0,Survival literature,"[""survival literature""]",[],other,no top-label rule matched
2876_86647_0,"Fiction, possibly drama or psychological","[""fiction"", ""possibly drama or psychological""]","[""general_fiction"", ""drama""]",general_fiction,compound genre maps to multiple normalized labels
8096_14684_0,Descriptive prose,"[""descriptive prose""]",[],other,no top-label rule matched
10293_26879_1,Political literature,"[""political literature""]",[],other,no top-label rule matched
13371_50659_0,,[],[],other,missing genre_raw
12869_45809_0,,[],[],other,missing genre_raw
22025_74161_0,Legal text,"[""legal text""]",[],other,no top-label rule matched
2410_47051_0,,[],[],other,missing genre_raw
19cTexts_1880-89_HoweWUC_batch169,"Fiction, possibly romance","[""fiction"", ""possibly romance""]","[""general_fiction"", ""romance""]",general_fiction,compound genre maps to multiple normalized labels
6985_116047_0,School story,"[""school story""]",[],other,no top-label rule matched
15334_55078_0,,[],[],other,missing genre_raw
49685_78041_0,,[],[],other,missing genre_raw
11037_31055_0,Military fiction,"[""military fiction""]",[],other,no top-label rule matched
4910_45111_0,Satirical fiction,"[""satirical fiction""]",[],other,no top-label rule matched
62022_78859_0,Folk tale,"[""folk tale""]",[],other,no top-label rule matched
11905_37193_0,Character description,"[""character description""]",[],other,no top-label rule matched
10502_27618_0,,[],[],other,missing genre_raw
20006_70504_0,,[],[],other,missing genre_raw
1937_64774_0,Fable,"[""fable""]",[],other,no top-label rule matched
5318_3590_0,Theater/Farce,"[""theater"", ""farce""]",[],other,no top-label rule matched
828_9577_0,Biblical narrative,"[""biblical narrative""]",[],other,no top-label rule matched
13630_51782_0,Political critique,"[""political critique""]",[],other,no top-label rule matched
60480_78555_1,,[],[],other,missing genre_raw
6985_116077_0,Sports fiction,"[""sports fiction""]",[],other,no top-label rule matched
10604_27962_0,,[],[],other,missing genre_raw
7849_55706_0,Legal fiction,"[""legal fiction""]",[],other,no top-label rule matched
8738_17944_0,,[],[],other,missing genre_raw
19cTexts_1840-49_TownWLT2_batch201,Legal literature,"[""legal literature""]",[],other,no top-label rule matched
17819_62966_0,,[],[],other,missing genre_raw
62099_78969_0,"Romance, comedy","[""romance"", ""comedy""]","[""romance"", ""comedy_satire""]",romance,compound genre maps to multiple normalized labels
19cTexts_1880-89_DextHCL_batch749,Bibliography,"[""bibliography""]",[],other,no top-label rule matched
20943_72869_0,,[],[],other,missing genre_raw
1845_64710_0,"Fiction, possibly comedy or satire","[""fiction"", ""possibly comedy or satire""]","[""general_fiction"", ""comedy_satire""]",general_fiction,compound genre maps to multiple normalized labels
19cTexts_1840-49_MarrFPJ_batch90,Folk song or ballad,"[""folk song or ballad""]",[],other,no top-label rule matched
2795_118621_0,Sports fiction,"[""sports fiction""]",[],other,no top-label rule matched
15027_53986_0,,[],[],other,missing genre_raw
12837_45354_0,,[],[],other,missing genre_raw
21433_73749_0,Philosophy,"[""philosophy""]",[],other,no top-label rule matched
19cTexts_1880-89_FarrFLF_batch235,Historical/Religious text,"[""historical"", ""religious text""]","[""historical"", ""religious_philosophical""]",historical,compound genre maps to multiple normalized labels
1449_60140_0,"Fiction, possibly action or adventure","[""fiction"", ""possibly action or adventure""]","[""general_fiction"", ""adventure""]",general_fiction,compound genre maps to multiple normalized labels
11916_37281_0,,[],[],other,missing genre_raw
11206_32221_0,Scientific literature,"[""scientific literature""]",[],other,no top-label rule matched
12246_39689_0,,[],[],other,missing genre_raw
19cTexts_1880-89_PateWME_batch50,,[],[],other,missing genre_raw
12979_46647_0,,[],[],other,missing genre_raw
19cTexts_1850-59_BrowEAL_batch114,"Poetry, dramatic monologue","[""poetry"", ""dramatic monologue""]","[""poetry"", ""drama""]",poetry,compound genre maps to multiple normalized labels
15668_56245_1,Instruction manual,"[""instruction manual""]",[],other,no top-label rule matched
14021_101297_0,Dystopian fiction,"[""dystopian fiction""]",[],other,no top-label rule matched
13187_49102_0,Political philosophy,"[""political philosophy""]",[],other,no top-label rule matched
5258_3573_0,Philosophy,"[""philosophy""]",[],other,no top-label rule matched
12602_42843_0,Collection of short stories or anecdotes,"[""collection of short stories or anecdotes""]",[],other,no top-label rule matched
24729_75603_0,,[],[],other,missing genre_raw
7202_10855_0,,[],[],other,missing genre_raw
800_739_0,Adventure/Travel,"[""adventure"", ""travel""]","[""adventure"", ""nonfiction_essay""]",adventure,compound genre maps to multiple normalized labels
11879_37009_0,"Coming-of-age, family drama","[""coming of age"", ""family drama""]","[""children_young_adult"", ""drama""]",children_young_adult,compound genre maps to multiple normalized labels
6821_8062_0,,[],[],other,missing genre_raw
19cTexts_1840-49_WhitJLR2_batch5,,[],[],other,missing genre_raw
10774_28853_0,War literature,"[""war literature""]",[],other,no top-label rule matched
19059_67976_0,Confessional literature,"[""confessional literature""]",[],other,no top-label rule matched
2337_29561_0,,[],[],other,missing genre_raw
1161_105714_1,,[],[],other,missing genre_raw
17876_64175_0,Slice of life or domestic fiction,"[""slice of life or domestic fiction""]",[],other,no top-label rule matched
15582_56200_0,,[],[],other,missing genre_raw
21970_75035_0,Dystopian fiction,"[""dystopian fiction""]",[],other,no top-label rule matched
4709_120434_0,Social novel,"[""social novel""]",[],other,no top-label rule matched
778_16640_0,"Children's fiction, fantasy","[""children s fiction"", ""fantasy""]","[""children_young_adult"", ""speculative""]",children_young_adult,compound genre maps to multiple normalized labels
19cTexts_1810-19_WilkJMM2_batch639,"Non-fiction, historical document","[""non fiction"", ""historical document""]","[""nonfiction_essay"", ""historical""]",nonfiction_essay,compound genre maps to multiple normalized labels
6558_6349_0,"Romance, coming-of-age","[""romance"", ""coming of age""]","[""romance"", ""children_young_adult""]",romance,compound genre maps to multiple normalized labels
704_31710_0,"Fiction, possibly drama","[""fiction"", ""possibly drama""]","[""general_fiction"", ""drama""]",general_fiction,compound genre maps to multiple normalized labels
9895_25611_0,Dialogue,"[""dialogue""]",[],other,no top-label rule matched
16219_57753_0,Social critique,"[""social critique""]",[],other,no top-label rule matched
6879_117298_0,Sports fiction,"[""sports fiction""]",[],other,no top-label rule matched
19cTexts_1820-29_MothWMA_batch216,Ballad,"[""ballad""]",[],other,no top-label rule matched
711_42997_0,Adventure/Thriller,"[""adventure"", ""thriller""]","[""adventure"", ""mystery_crime""]",adventure,compound genre maps to multiple normalized labels
2527_14999_0,"Fiction, possibly drama or romance","[""fiction"", ""possibly drama or romance""]","[""general_fiction"", ""drama""]",general_fiction,compound genre maps to multiple normalized labels
18289_66520_0,Nautical guide,"[""nautical guide""]",[],other,no top-label rule matched
12332_40515_0,,[],[],other,missing genre_raw
4502_64898_0,,[],[],other,missing genre_raw
19cTexts_1890-99_KiplRLH_batch58,Short story collection,"[""short story collection""]",[],other,no top-label rule matched
2392_76788_0,Animal fiction,"[""animal fiction""]",[],other,no top-label rule matched
43788_77844_0,Business literature,"[""business literature""]",[],other,no top-label rule matched
11724_36631_0,,[],[],other,missing genre_raw
19cTexts_1890-99_TennHAL_batch245,Literary correspondence,"[""literary correspondence""]",[],other,no top-label rule matched
73_32984_0,War fiction,"[""war fiction""]",[],other,no top-label rule matched
7263_11245_0,"Fiction, possibly coming-of-age or adventure","[""fiction"", ""possibly coming of age or adventure""]","[""general_fiction"", ""adventure""]",general_fiction,compound genre maps to multiple normalized labels
10113_26145_0,,[],[],other,missing genre_raw
19cTexts_1840-49_TownWLT_batch325,"Non-fiction, courtroom drama","[""non fiction"", ""courtroom drama""]","[""nonfiction_essay"", ""drama""]",nonfiction_essay,compound genre maps to multiple normalized labels
19cTexts_1840-49_CatlGLN2_batch134,Anthropological study,"[""anthropological study""]",[],other,no top-label rule matched
19885_69975_0,Novel,"[""novel""]",[],other,no top-label rule matched
11769_36846_0,Political speech,"[""political speech""]",[],other,no top-label rule matched
12250_39753_0,Short stories,"[""short stories""]",[],other,no top-label rule matched
12401_41170_0,War literature,"[""war literature""]",[],other,no top-label rule matched
19cTexts_1840-49_LeveCCO2_batch110,Irish literature,"[""irish literature""]",[],other,no top-label rule matched
17986_65543_0,,[],[],other,missing genre_raw
64_23250_0,"Science-fiction, adventure","[""science fiction"", ""adventure""]","[""speculative"", ""adventure""]",speculative,compound genre maps to multiple normalized labels
29944_76000_0,,[],[],other,missing genre_raw
16372_57840_0,,[],[],other,missing genre_raw
4731_48916_0,"Fiction, possibly rural or adventure","[""fiction"", ""possibly rural or adventure""]","[""general_fiction"", ""adventure""]",general_fiction,compound genre maps to multiple normalized labels
1874_7870_0,Family fiction,"[""family fiction""]",[],other,no top-label rule matched
17927_65374_0,Novel,"[""novel""]",[],other,no top-label rule matched
11453_34687_0,Academic paper,"[""academic paper""]",[],other,no top-label rule matched
3097_135592_0,"Historical fiction, mystery","[""historical fiction"", ""mystery""]","[""historical"", ""mystery_crime""]",historical,compound genre maps to multiple normalized labels
29944_76050_0,,[],[],other,missing genre_raw
19cTexts_1810-19_DunlWM_batch125,Epistolary literature,"[""epistolary literature""]",[],other,no top-label rule matched
6684_65358_0,"Comedy, adventure","[""comedy"", ""adventure""]","[""comedy_satire"", ""adventure""]",comedy_satire,compound genre maps to multiple normalized labels
18837_66879_0,War fiction,"[""war fiction""]",[],other,no top-label rule matched
4785_839_0,"Fiction, possibly a romance or family drama","[""fiction"", ""possibly a romance or family drama""]","[""general_fiction"", ""drama""]",general_fiction,compound genre maps to multiple normalized labels
7178_128024_1,,[],[],other,missing genre_raw
10218_26764_0,Reference book,"[""reference book""]",[],other,no top-label rule matched
19888_70400_0,,[],[],other,missing genre_raw
4501_64837_0,,[],[],other,missing genre_raw
7151_10723_0,,[],[],other,missing genre_raw
11207_32246_0,Political oration,"[""political oration""]",[],other,no top-label rule matched
17503_62319_0,,[],[],other,missing genre_raw
11071_31514_1,Anthropology,"[""anthropology""]",[],other,no top-label rule matched
29452_24539_0,Fictional dialogue,"[""fictional dialogue""]",[],other,no top-label rule matched
19cTexts_1820-29_MoorTML2_batch196,Biographical account,"[""biographical account""]",[],other,no top-label rule matched
8520_16760_0,,[],[],other,missing genre_raw
19cTexts_1830-39_ClarGE3_batch735,Biographical,"[""biographical""]",[],other,no top-label rule matched
15115_54569_0,Allegory,"[""allegory""]",[],other,no top-label rule matched
12401_41157_0,War literature,"[""war literature""]",[],other,no top-label rule matched
2518_99836_1,Magical realism,"[""magical realism""]",[],other,no top-label rule matched
544_83646_1,Contemporary fiction,"[""contemporary fiction""]",[],other,no top-label rule matched
11206_32211_0,Scientific text,"[""scientific text""]",[],other,no top-label rule matched
14503_53078_0,Medical literature,"[""medical literature""]",[],other,no top-label rule matched
2870_28863_1,Epistolary fiction,"[""epistolary fiction""]",[],other,no top-label rule matched
9302_23806_0,,[],[],other,missing genre_raw
19cTexts_1800-09_OpieJLP_batch52,Art theory,"[""art theory""]",[],other,no top-label rule matched
19375_68293_0,,[],[],other,missing genre_raw
9843_25452_0,Descriptive prose,"[""descriptive prose""]",[],other,no top-label rule matched
8098_14948_0,,[],[],other,missing genre_raw
4504_64917_0,"Fiction, philosophical","[""fiction"", ""philosophical""]","[""general_fiction"", ""religious_philosophical""]",general_fiction,compound genre maps to multiple normalized labels
17838_63477_0,,[],[],other,missing genre_raw
39849_77317_0,Political fiction,"[""political fiction""]",[],other,no top-label rule matched
8129_89128_0,"Fantasy, philosophical fiction","[""fantasy"", ""philosophical fiction""]","[""speculative"", ""religious_philosophical""]",speculative,compound genre maps to multiple normalized labels
20149_71236_0,,[],[],other,missing genre_raw
15347_55164_0,,[],[],other,missing genre_raw
15334_55100_0,,[],[],other,missing genre_raw
3792_46854_0,,[],[],other,missing genre_raw
